DateTime, Subject, Sender, URL, Message, ReadFlag
"2012-01-23 04:48:39", "Thanks for joining! Please activate your account.", "name:Administrator,email:password@pligg.com", "2_0_0_1_30880_AOF13rQAAYUETxyZTwbnKyc1YEY", "Hello testsup28, We've sent you this email because you signed up for a new account on SHARE-A-PORN. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.share-a-porn.com/validation.php?code=5d456038f2fc93ef8f652ffc9ddf17f0&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.share-a-porn.com Enjoy! The Administrator ", "False"
"2012-01-23 22:09:46", "Thanks for joining! Please activate your account.", "name:Administrator,email:password@pligg.com", "2_0_0_1_2318_AIt03rQAAVI0Tx2NUgqvt2RO8ZA", "Hello testsup444, We've sent you this email because you signed up for a new account on Bahadori.EU Social News. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://bahadori.eu/validation.php?code=f7c77e00d122060f1b230d4bf75905d8&uid=testsup444 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://bahadori.eu Enjoy! The Administrator ", "False"
"2012-01-22 22:31:08", "Thanks for joining! Please activate your account.", "name:Administrator,email:password@diigme.com", "2_0_0_1_47385_AIZ03rQAARfwTxxA1AxfQzJndXg", "Hello testsup28,\r \r We\'ve sent you this email because you signed up for a new account on DiigMe. If you didn\'t mean to do that, you can safely ignore this message.\r \r Visit this link to activate your account:\r http://diigme.com/validation.php?code=db2986eb9167fe1a5b7a8ae2a8a9ad57&uid=testsup28 \r \r Your Password is spmprx \r \r If clicking the link doesn\'t work, copying the complete link address into your browser.\r Still having trouble? Contact us at \r \r After activation of your account, you can login at http://diigme.com\r \r Enjoy!\r \r Your DiigMe.com Team ", "False"
"2012-01-22 19:35:58", "Thanks for joining! Please activate your account.", "name:Administrator,email:support@thesparringrepublican.com", "2_0_0_1_52417_AIR03rQAACt2TxwXxg72biEKMB8", "Hello testsup23, We've sent you this email because you signed up for a new account on The Sparring Republican. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.thesparringrepublican.com/validation.php?code=e2352877c992c85961fedc02047ca99d&uid=testsup23 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.thesparringrepublican.com Enjoy! The Administrator ", "False"
"2012-01-22 23:51:59", "Thanks for joining! Please activate your account.", "name:Administrator,email:password@pligg.com", "2_0_0_1_34758_AOV13rQAAKdwTxxTxwoT8RW32c0", "Hello testsup28, We've sent you this email because you signed up for a new account on Ohter. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.ohter.com/validation.php?code=d5dd61ec1dc3d68c64e9e23b3879fecf&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.ohter.com Enjoy! The Administrator ", "False"
"2012-01-26 12:12:09", "Pligg Story Post Bot (with GUI) version 2", "name:Supriyo Mitra,email:supmit2k3@yahoo.com", "2_0_0_1_278_AIR03rQAAEgCTyD1wQNjR1KFFEw", " ", "False"
"2012-01-23 17:56:33", "Thanks for joining! Please activate your account.", "name:Administrator,email:admin@sf4strategy.com", "2_0_0_1_14114_AOd13rQAACgxTx1R+QWHXkqZ9ZU", "Hello testsup464, We've sent you this email because you signed up for a new account on SF4Strategy.com. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.sf4strategy.com/validation.php?code=5ef3393cecc4e1556bc1d539b7c37a69&uid=testsup464 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.sf4strategy.com Enjoy! The Administrator ", "False"
"2012-01-23 06:41:59", "Welcome to AfriWeb.org !", "name:AfriWeb.org,email:password@afriweb.org", "2_0_0_1_18107_AOR13rQAAWSoTxyz3w7RvUxEHh8", "Hello, testsup43. Your account at AfriWeb.org has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://afriweb.org/login.php Username.: testsup43 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 17:11:59. ", "False"
"2012-01-22 16:12:13", "Thanks for joining! Please activate your account.", "name:Administrator,email:password@steepbookmarks.com", "2_0_0_1_60356_AOV13rQAAEMyTxvoBQbpJmTtsVs", "Hello $username,\r \r We've sent you this email because you signed up for a new account at $domain. If you didn't mean to do that, you can safely ignore this message.\r \r Visit this link to activate your account:\r $validation\r \r Your Password is $password\r \r If clicking the link doesn't work, try copying the complete link address into your browser.\r Still having trouble? Contact us at $contactmail\r \r After activation of your account, you can login at $my_base_url$my_pligg_base\r \r Enjoy!\r \r The Administrator; ", "False"
"2012-01-23 21:58:35", "Welcome to Angry Me!", "name:Angry Me,email:password@angryme.net", "2_0_0_1_3335_AIR03rQAAGveTx2Ksw8yJECLtu0", "Hola, testsup423. Tu cuenta en Angry Me se ha creado con xito. Por favor, mantn la siguiente informacin como referencia en el futuro: ----------------------------------------- URL para acceder : http://angryme.net/login.php Nombre de usuario.: testsup423 Contrasea. : (la que escogiste cuando te registraste) ----------------------------------------- Este email se ha generado automticamente el Jan 23, 2012 a las 17:28:33. ", "False"
